RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,ZHVI
93781,8163,81416,Zip,CO,CO,Delta,,Delta County,264493
78990,8163,48118,Zip,MI,MI,Chelsea,Ann Arbor,Washtenaw County,336574
89459,8168,72227,Zip,AR,AR,Little Rock,Little Rock-North Little Rock-Conway,Pulaski County,225676
75141,8168,39090,Zip,MS,MS,Kosciusko,,Attala County,84240
73146,8168,34610,Zip,FL,FL,Shady Hills,Tampa-St. Petersburg-Clearwater,Pasco County,311533
88161,8171,68776,Zip,NE,NE,South Sioux City,Sioux City,Dakota County,
92315,8171,78219,Zip,TX,TX,Kirby,San Antonio-New Braunfels,Bexar County,161222
86307,8173,64060,Zip,MO,MO,Kearney,Kansas City,Clay County,330208
79566,8173,49079,Zip,MI,MI,Paw Paw,Kalamazoo-Portage,Van Buren County,217346
70603,8175,29620,Zip,SC,SC,Abbeville,Greenwood,Abbeville County,154048
61949,8175,10965,Zip,NY,NY,Orangetown,New York-Newark-Jersey City,Rockland County,546866
58824,8177,2632,Zip,MA,MA,Barnstable,Barnstable Town,Barnstable County,541662
63021,8178,13215,Zip,NY,NY,Onondaga,Syracuse,Onondaga County,263547
73132,8178,34488,Zip,FL,FL,Silver Springs,Ocala,Marion County,142664
58407,8178,1527,Zip,MA,MA,Millbury,Worcester,Worcester County,401365
70192,8181,28748,Zip,NC,NC,Leicester,Asheville,Buncombe County,350528
82108,8181,55107,Zip,MN,MN,Saint Paul,Minneapolis-St. Paul-Bloomington,Ramsey County,254081
92250,8183,78076,Zip,TX,TX,Zapata,Zapata,Zapata County,109613
66118,8183,19970,Zip,DE,DE,Ocean View,Salisbury,Sussex County,444996
96426,8183,91436,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2170284
91936,8186,77445,Zip,TX,TX,Hempstead,Houston-The Woodlands-Sugar Land,Waller County,
62932,8187,13066,Zip,NY,NY,Town of Manlius,Syracuse,Onondaga County,274875
89139,8188,71635,Zip,AR,AR,Crossett,,Ashley County,64401
73108,8189,34450,Zip,FL,FL,Inverness,Homosassa Springs,Citrus County,212302
91558,8190,76707,Zip,TX,TX,Waco,Waco,McLennan County,130582
62300,8190,11953,Zip,NY,NY,Middle Island,New York-Newark-Jersey City,Suffolk County,374176
99750,8192,98363,Zip,WA,WA,Port Angeles,Port Angeles,Clallam County,372069
78691,8192,47601,Zip,IN,IN,Boonville,Evansville,Warrick County,179713
58798,8194,2540,Zip,MA,MA,Falmouth,Barnstable Town,Barnstable County,859988
89947,8195,73122,Zip,OK,OK,Warr Acres,Oklahoma City,Oklahoma County,165187
75683,8196,40444,Zip,KY,KY,Lancaster,,Garrard County,176526
91036,8197,75686,Zip,TX,TX,Pittsburg,,Camp County,136735
92946,8198,79403,Zip,TX,TX,Lubbock,Lubbock,Lubbock County,78844
62112,8198,11426,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,687381
73294,8200,35057,Zip,AL,AL,Good Hope,Cullman,Cullman County,175997
58754,8200,2382,Zip,MA,MA,Whitman,Boston-Cambridge-Newton,Plymouth County,470237
65948,8200,19473,Zip,PA,PA,Perkiomen Township,Philadelphia-Camden-Wilmington,Montgomery County,431666
67950,8203,24055,Zip,VA,VA,Bassett,Martinsville,Henry County,97031
66704,8204,20905,Zip,MD,MD,Silver Spring,Washington-Arlington-Alexandria,Montgomery County,594147
73230,8205,34950,Zip,FL,FL,Fort Pierce,Port St. Lucie,Saint Lucie County,161297
89713,8206,72714,Zip,AR,AR,Bella Vista,Fayetteville-Springdale-Rogers,Benton County,254838
78895,8207,48001,Zip,MI,MI,Algonac,Detroit-Warren-Dearborn,Saint Clair County,221576
60456,8208,6812,Zip,CT,CT,New Fairfield,Bridgeport-Stamford-Norwalk,Fairfield County,442980
88659,8209,70538,Zip,LA,LA,Franklin,Morgan City,Saint Mary Parish,111937
67994,8210,24121,Zip,VA,VA,Moneta,Lynchburg,Bedford County,425778
73362,8211,35180,Zip,AL,AL,Warrior,Birmingham-Hoover,Jefferson County,218359
60568,8212,7059,Zip,NJ,NJ,Warren Township,New York-Newark-Jersey City,Somerset County,828652
58516,8212,1850,Zip,MA,MA,Lowell,Boston-Cambridge-Newton,Middlesex County,350466
93012,8214,79556,Zip,TX,TX,Sweetwater,Sweetwater,Nolan County,
70609,8214,29626,Zip,SC,SC,Anderson,Greenville-Anderson-Mauldin,Anderson County,207526
74474,8214,37772,Zip,TN,TN,Lenoir City,Knoxville,Loudon County,336854
74465,8217,37760,Zip,TN,TN,Jefferson City,Morristown,Jefferson County,184002
79703,8217,49337,Zip,MI,MI,Newaygo,,Newaygo County,186973
63771,8219,14843,Zip,NY,NY,Hornell,Corning,Steuben County,90741
73387,8220,35217,Zip,AL,AL,Tarrant,Birmingham-Hoover,Jefferson County,63721
63581,8220,14527,Zip,NY,NY,Penn Yan,Rochester,Yates County,195096
65733,8222,19056,Zip,PA,PA,Levittown,Philadelphia-Camden-Wilmington,Bucks County,364717
